path,top_component,primary_domain,secondary_domains,all_domains,cross_domain,classification_confidence,classification_basis,review_treatment,is_test,is_fixture,is_example,is_generated,is_vendor,contains_embedded_tests,is_schema,is_doc,is_config,is_build,is_asset,is_symlink,lines,bytes
CODE_OF_CONDUCT.md,[root],D00,,D00,NO,HIGH,component:[root],DOC_CONTEXT_VERIFY_AGAINST_CODE,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,1,28
LICENSE,[root],D00,,D00,NO,HIGH,component:[root],FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,201,11357
README.md,[root],D00,,D00,NO,HIGH,component:[root],DOC_CONTEXT_VERIFY_AGAINST_CODE,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,482,45489
abuse-enforcement-service/server/src/main.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,104,3536
abuse-enforcement-service/service-lib/rules/enforcement_post.yaml,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,82,2132
abuse-enforcement-service/service-lib/rules/enforcement_user.yaml,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,210,6384
abuse-enforcement-service/service-lib/src/ais_client.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,595,18452
abuse-enforcement-service/service-lib/src/allowlist.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,172,5273
abuse-enforcement-service/service-lib/src/api_doc.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,212,8391
abuse-enforcement-service/service-lib/src/auth.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,227,6979
abuse-enforcement-service/service-lib/src/bin/validate_rules_yaml.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,33,969
abuse-enforcement-service/service-lib/src/config.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,336,10097
abuse-enforcement-service/service-lib/src/decision.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,38,947
abuse-enforcement-service/service-lib/src/dedup_cache.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,791,26180
abuse-enforcement-service/service-lib/src/entities.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,62,1885
abuse-enforcement-service/service-lib/src/facts.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,1008,35914
abuse-enforcement-service/service-lib/src/fixtures/mock_rules_post.yaml,abuse-enforcement-service,D13,D16;D17,D13;D16;D17,YES,HIGH,abuse-enforcement,FIXTURE_EVIDENCE,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,14,484
abuse-enforcement-service/service-lib/src/fixtures/mock_rules_user.yaml,abuse-enforcement-service,D13,D16;D17,D13;D16;D17,YES,HIGH,abuse-enforcement,FIXTURE_EVIDENCE,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,24,828
abuse-enforcement-service/service-lib/src/gizmoduck.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,175,6302
abuse-enforcement-service/service-lib/src/gizmoduck_labels.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,6,177
abuse-enforcement-service/service-lib/src/growthbook.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,473,15543
abuse-enforcement-service/service-lib/src/growthbook_writer.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,257,8466
abuse-enforcement-service/service-lib/src/lib.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,1955,67593
abuse-enforcement-service/service-lib/src/limiter.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,145,4517
abuse-enforcement-service/service-lib/src/manhattan.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,103,3072
abuse-enforcement-service/service-lib/src/metrics.rs,abuse-enforcement-service,D13,D16;D18,D13;D16;D18,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,445,16186
abuse-enforcement-service/service-lib/src/rules.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,1202,38647
abuse-enforcement-service/service-lib/src/service.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,2598,88259
abuse-enforcement-service/service-lib/src/sliding_window.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,672,21267
abuse-enforcement-service/service-lib/src/strato.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,283,8813
abuse-enforcement-service/service-lib/src/test_user.rs,abuse-enforcement-service,D13,D16,D13;D16,YES,HIGH,abuse-enforcement,TEST_EVIDENCE,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,75,2335
abuse-enforcement-service/types/src/allowlist.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,315,9267
abuse-enforcement-service/types/src/config.rs,abuse-enforcement-service,D13,D17;D16,D13;D17;D16,YES,HIGH,abuse-enforcement,FULL_SOURCE_REVIEW,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,8,235
