component,files,bytes,text_files,lines,tests_hint,docs_hint,configs_hint,generated_hint,symlinks
botmaker,492,2171276,492,61527,0,0,67,21,0
phoenix,303,4301729,303,117903,0,5,15,0,0
simclusters,232,1329271,232,35797,0,0,0,0,0
home-mixer,216,1355098,216,40071,6,0,0,0,0
grox,165,553989,165,14975,0,0,1,0,0
media-model-proxy,98,158918,96,4166,40,1,36,3,1
agatha,90,193734,90,5629,0,0,23,4,0
botmaker-rules,73,51893,73,1578,0,0,0,1,0
visibility-filtering,63,502291,63,15861,0,0,0,0,0
bdsm,46,341509,46,10004,9,1,6,0,0
phoenix-rankall,35,256889,35,7653,1,0,1,2,0
scarecrow,32,121454,32,3231,0,0,0,0,0
abuse-enforcement-service,31,419165,31,12622,1,0,4,0,0
under-the-hood,26,149024,26,4138,0,0,0,1,0
thunder,24,1068763,24,31455,0,0,0,8,0
clip,20,91946,20,2856,0,0,4,0,0
phoenix-rankall-strato,17,59933,17,1699,0,0,0,0,0
candidate-pipeline,11,39922,11,1234,0,0,0,0,0
vm-ranker,10,39668,10,1302,0,0,0,0,0
user-cred-v2,9,25789,9,805,0,0,0,0,0
adult-content,8,13275,8,482,0,0,2,0,0
visibility-filtering-client,7,104374,7,2999,0,0,0,0,0
[root],3,56874,3,684,0,2,0,0,0
safety-label-user-agg,3,19611,3,617,0,0,0,0,0
docs,1,19293,1,495,0,1,0,0,0
pnsfwmedia,1,6873,1,212,0,0,0,0,0
