extension,files,bytes,text_files,lines,symlinks
.scala,556,2998170,556,80987,0
.rs,443,4680816,443,138480,0
.py,406,3813792,406,101021,0
.java,313,975474,313,29421,0
.df,53,20084,53,672,0
[no extension],40,82839,40,1853,0
.bazel,39,60799,39,1570,0
.strato,29,110216,29,3192,0
.bot,20,31809,20,906,0
.toml,17,15055,17,586,0
.thrift,12,27655,12,1001,0
.typed,10,26,10,1,0
.cc,9,59822,9,1827,0
.hpp,9,17314,9,531,0
.md,9,124652,9,2103,0
.proto,9,89959,9,3785,0
.cu,6,47228,6,1396,0
.yaml,6,11400,6,385,0
.ini,4,84,4,12,0
.sh,4,11289,4,375,0
.ipynb,3,34719,3,1071,0
.json,3,8238,3,221,0
.xml,3,8762,3,145,0
.h,2,2125,2,89,0
.lock,2,177948,2,7292,0
.yml,2,2083,1,59,1
.cuh,1,5892,1,223,0
.g,1,5773,1,248,0
.jpg,1,6716,0,0,0
.pyi,1,20251,1,499,0
.rst,1,1423,1,38,0
.serviceloadedtunablemap,1,62,1,1,0
.txt,1,86,1,5,0
