path,bytes,lines,top_component,kind_hint
botmaker/src/scala/com/twitter/botmaker/FunctionUnitGen.scala,554425,12644,botmaker,source
thunder/schema/user.rs,511240,14750,thunder,source
phoenix/xrex/inference/model_runner.py,209227,4879,phoenix,source
thunder/schema/tweet.rs,177053,5471,thunder,source
phoenix/xrex/cutedsl/ranker_fa4/flash_bwd_sm100.py,164546,3708,phoenix,source
thunder/schema/events.rs,158514,4679,thunder,source
phoenix/crates/serving/xai-recsys-engine/src/python.rs,152189,3765,phoenix,source
phoenix/xrex/train/trainer_recsys.py,147414,3568,phoenix,source
phoenix/xrex/cutedsl/ranker_fa4/flash_fwd_sm100.py,128912,2941,phoenix,source
phoenix/Cargo.lock,128345,5339,phoenix,config_or_build
phoenix/xrex/models/recsys_model.py,124954,3178,phoenix,source
abuse-enforcement-service/service-lib/src/service.rs,88259,2598,abuse-enforcement-service,source
phoenix/crates/common/xai-recsys/src/util.rs,80685,2017,phoenix,source
phoenix/crates/serving/xai-recsys-engine/src/storage_util.rs,71056,2073,phoenix,source
phoenix/xrex/models/recsys_two_tower_model.py,67810,1760,phoenix,source
abuse-enforcement-service/service-lib/src/lib.rs,67593,1955,abuse-enforcement-service,source
home-mixer/scorers/ranking_scorer.rs,66310,1708,home-mixer,source
phoenix/xrex/data/parquet_recsys.py,65333,1522,phoenix,source
bdsm/runtime/score_results_sink_focal.py,65056,1689,bdsm,source
phoenix/xrex/data/recsys/recsys_batch.py,64703,1582,phoenix,source
botmaker/src/java/com/twitter/botmaker/compiler/Serializer.java,60814,1903,botmaker,source
phoenix/xrex/pallas/ranker_attention_fa3.py,60051,1553,phoenix,source
botmaker/src/java/com/twitter/botmaker/compiler/Compiler.java,59766,1617,botmaker,source
thunder/schema/tweet_events.rs,59013,1725,thunder,source
phoenix/crates/serving/xai-recsys-engine/src/emb_table.rs,58068,1580,phoenix,source
phoenix/xrex/train/trainer.py,58054,1496,phoenix,source
phoenix-rankall/src/store/base.rs,57199,1586,phoenix-rankall,source
home-mixer/filters/topic_ids_filter.rs,56798,1502,home-mixer,source
phoenix/xrex/cutedsl/ranker_fa4/block_sparse_utils.py,55798,1564,phoenix,source
phoenix/xrex/data/streaming/kafkaconsumer.py,55347,1406,phoenix,source
phoenix/xrex/cutedsl/ranker_fa4/mask.py,55345,1236,phoenix,source
phoenix/xrex/cutedsl/ranker_fa4/tile_scheduler.py,54000,1400,phoenix,source
bdsm/rust/accumulator/Cargo.lock,49603,1953,bdsm,config_or_build
home-mixer/candidate_pipeline/phoenix_candidate_pipeline.rs,49271,1070,home-mixer,source
phoenix/crates/serving/xai-recsys-engine/src/copy_port_client.rs,48574,1430,phoenix,source
phoenix/xrex/cutedsl/ranker_fa4/blackwell_helpers.py,46152,1065,phoenix,source
README.md,45489,482,[root],documentation
phoenix/xrex/data/streaming/kafkaloader.py,44612,1231,phoenix,source
phoenix/NOTICE,44073,844,phoenix,other
phoenix/xrex/eval/recsys_eval.py,43431,989,phoenix,source
phoenix/xrex/pallas/ranker_attention_varlen.py,42056,1326,phoenix,source
phoenix/crates/serving/xai-recsys-proto/proto/recsys.proto,41513,1740,phoenix,schema_or_dsl
phoenix/python/common/xai-proto/proto/recsys.proto,41513,1740,phoenix,schema_or_dsl
home-mixer/filters/brazil_2026_election_filter.rs,40837,1573,home-mixer,source
bdsm/runtime/batch_prefetcher.py,39891,1029,bdsm,source
phoenix/xrex/models/recsys_feature_prep.py,38859,1073,phoenix,source
abuse-enforcement-service/service-lib/src/rules.rs,38647,1202,abuse-enforcement-service,source
botmaker/src/scala/com/twitter/botmaker/rule/BotMaker.scala,36991,1072,botmaker,source
phoenix/xrex/pallas/ranker_attention_v2.py,36137,1095,phoenix,source
abuse-enforcement-service/service-lib/src/facts.rs,35914,1008,abuse-enforcement-service,source
